time_window_start,total_tokens_sum,gpu_required,total_gpu,free_gpu
2024-05-10 12:00:00+00:00,34678907,35.0,216,181.0
2024-05-10 12:15:00+00:00,40211421,41.0,216,175.0
2024-05-10 12:30:00+00:00,50683002,51.0,216,165.0
2024-05-10 12:45:00+00:00,58960041,59.0,216,157.0
2024-05-10 13:00:00+00:00,63426358,64.0,216,152.0
2024-05-10 13:15:00+00:00,71217846,72.0,216,144.0
2024-05-10 13:30:00+00:00,83515388,84.0,216,132.0
2024-05-10 13:45:00+00:00,84496645,85.0,216,131.0
2024-05-10 14:00:00+00:00,103503488,104.0,216,112.0
2024-05-10 14:15:00+00:00,103114406,104.0,216,112.0
2024-05-10 14:30:00+00:00,116000862,117.0,216,99.0
2024-05-10 14:45:00+00:00,135279276,136.0,216,80.0
2024-05-10 15:00:00+00:00,127885676,128.0,216,88.0
2024-05-10 15:15:00+00:00,131279340,132.0,216,84.0
2024-05-10 15:30:00+00:00,119096982,120.0,216,96.0
2024-05-10 15:45:00+00:00,129385134,130.0,216,86.0
2024-05-10 16:00:00+00:00,121991815,122.0,216,94.0
2024-05-10 16:15:00+00:00,111477997,112.0,216,104.0
2024-05-10 16:30:00+00:00,113801872,114.0,216,102.0
2024-05-10 16:45:00+00:00,125785008,126.0,216,90.0
2024-05-10 17:00:00+00:00,130627807,131.0,216,85.0
2024-05-10 17:15:00+00:00,129425734,130.0,216,86.0
2024-05-10 17:30:00+00:00,126497436,127.0,216,89.0
2024-05-10 17:45:00+00:00,139468572,140.0,216,76.0
2024-05-10 18:00:00+00:00,134957755,135.0,216,81.0
2024-05-10 18:15:00+00:00,144698112,145.0,216,71.0
2024-05-10 18:30:00+00:00,150320746,151.0,216,65.0
2024-05-10 18:45:00+00:00,128195951,129.0,216,87.0
2024-05-10 19:00:00+00:00,125656337,126.0,216,90.0
2024-05-10 19:15:00+00:00,149292520,150.0,216,66.0
2024-05-10 19:30:00+00:00,159583388,160.0,216,56.0
2024-05-10 19:45:00+00:00,157737702,158.0,216,58.0
2024-05-10 20:00:00+00:00,148698398,149.0,216,67.0
2024-05-10 20:15:00+00:00,146832520,147.0,216,69.0
2024-05-10 20:30:00+00:00,135041953,136.0,216,80.0
2024-05-10 20:45:00+00:00,129398823,130.0,216,86.0
2024-05-10 21:00:00+00:00,112276116,113.0,216,103.0
2024-05-10 21:15:00+00:00,104192811,105.0,216,111.0
2024-05-10 21:30:00+00:00,95458094,96.0,216,120.0
2024-05-10 21:45:00+00:00,92860185,93.0,216,123.0
2024-05-10 22:00:00+00:00,80773815,81.0,216,135.0
2024-05-10 22:15:00+00:00,73321063,74.0,216,142.0
2024-05-10 22:30:00+00:00,69983107,70.0,216,146.0
2024-05-10 22:45:00+00:00,65858163,66.0,216,150.0
2024-05-10 23:00:00+00:00,50090192,51.0,216,165.0
2024-05-10 23:15:00+00:00,54235614,55.0,216,161.0
2024-05-10 23:30:00+00:00,42429387,43.0,216,173.0
2024-05-10 23:45:00+00:00,41788143,42.0,216,174.0
2024-05-11 00:00:00+00:00,38954294,39.0,216,177.0
2024-05-11 00:15:00+00:00,34002309,35.0,216,181.0
2024-05-11 00:30:00+00:00,32231092,33.0,216,183.0
2024-05-11 00:45:00+00:00,33331893,34.0,216,182.0
2024-05-11 01:00:00+00:00,33844680,34.0,216,182.0
2024-05-11 01:15:00+00:00,29836197,30.0,216,186.0
2024-05-11 01:30:00+00:00,28608065,29.0,216,187.0
2024-05-11 01:45:00+00:00,28220044,29.0,216,187.0
2024-05-11 02:00:00+00:00,26204321,27.0,216,189.0
2024-05-11 02:15:00+00:00,25477929,26.0,216,190.0
2024-05-11 02:30:00+00:00,26277023,27.0,216,189.0
2024-05-11 02:45:00+00:00,27520906,28.0,216,188.0
2024-05-11 03:00:00+00:00,29380942,30.0,216,186.0
2024-05-11 03:15:00+00:00,27890194,28.0,216,188.0
2024-05-11 03:30:00+00:00,24656480,25.0,216,191.0
2024-05-11 03:45:00+00:00,25178943,26.0,216,190.0
2024-05-11 04:00:00+00:00,24854859,25.0,216,191.0
2024-05-11 04:15:00+00:00,21786809,22.0,216,194.0
2024-05-11 04:30:00+00:00,22541169,23.0,216,193.0
2024-05-11 04:45:00+00:00,22145392,23.0,216,193.0
2024-05-11 05:00:00+00:00,20024575,21.0,216,195.0
2024-05-11 05:15:00+00:00,17159767,18.0,216,198.0
2024-05-11 05:30:00+00:00,16901264,17.0,216,199.0
2024-05-11 05:45:00+00:00,15298839,16.0,216,200.0
2024-05-11 06:00:00+00:00,13350373,14.0,216,202.0
2024-05-11 06:15:00+00:00,15975776,16.0,216,200.0
2024-05-11 06:30:00+00:00,14064221,15.0,216,201.0
2024-05-11 06:45:00+00:00,16886511,17.0,216,199.0
2024-05-11 07:00:00+00:00,11864459,12.0,216,204.0
2024-05-11 07:15:00+00:00,11308593,12.0,216,204.0
2024-05-11 07:30:00+00:00,9993874,10.0,216,206.0
2024-05-11 07:45:00+00:00,9224485,10.0,216,206.0
2024-05-11 08:00:00+00:00,7814258,8.0,216,208.0
2024-05-11 08:15:00+00:00,9574491,10.0,216,206.0
2024-05-11 08:30:00+00:00,7876561,8.0,216,208.0
2024-05-11 08:45:00+00:00,8914054,9.0,216,207.0
2024-05-11 09:00:00+00:00,6596997,7.0,216,209.0
2024-05-11 09:15:00+00:00,8091184,9.0,216,207.0
2024-05-11 09:30:00+00:00,6940349,7.0,216,209.0
2024-05-11 09:45:00+00:00,7032646,8.0,216,208.0
2024-05-11 10:00:00+00:00,6425015,7.0,216,209.0
2024-05-11 10:15:00+00:00,5961091,6.0,216,210.0
2024-05-11 10:30:00+00:00,4217978,5.0,216,211.0
2024-05-11 10:45:00+00:00,7586709,8.0,216,208.0
2024-05-11 11:00:00+00:00,6913593,7.0,216,209.0
2024-05-11 11:15:00+00:00,10785444,11.0,216,205.0
2024-05-11 11:30:00+00:00,9479482,10.0,216,206.0
2024-05-11 11:45:00+00:00,10387576,11.0,216,205.0
2024-05-11 12:00:00+00:00,12027093,13.0,216,203.0
2024-05-11 12:15:00+00:00,13372995,14.0,216,202.0
2024-05-11 12:30:00+00:00,12648497,13.0,216,203.0
2024-05-11 12:45:00+00:00,17085187,18.0,216,198.0
2024-05-11 13:00:00+00:00,15515359,16.0,216,200.0
2024-05-11 13:15:00+00:00,16749091,17.0,216,199.0
2024-05-11 13:30:00+00:00,19576251,20.0,216,196.0
2024-05-11 13:45:00+00:00,25205618,26.0,216,190.0
2024-05-11 14:00:00+00:00,22558990,23.0,216,193.0
2024-05-11 14:15:00+00:00,24153855,25.0,216,191.0
2024-05-11 14:30:00+00:00,29438158,30.0,216,186.0
2024-05-11 14:45:00+00:00,26614504,27.0,216,189.0
2024-05-11 15:00:00+00:00,25204655,26.0,216,190.0
2024-05-11 15:15:00+00:00,25087617,26.0,216,190.0
2024-05-11 15:30:00+00:00,28780254,29.0,216,187.0
2024-05-11 15:45:00+00:00,27424671,28.0,216,188.0
2024-05-11 16:00:00+00:00,29386933,30.0,216,186.0
2024-05-11 16:15:00+00:00,25379727,26.0,216,190.0
2024-05-11 16:30:00+00:00,25554683,26.0,216,190.0
2024-05-11 16:45:00+00:00,31488452,32.0,216,184.0
2024-05-11 17:00:00+00:00,31675113,32.0,216,184.0
2024-05-11 17:15:00+00:00,31574362,32.0,216,184.0
2024-05-11 17:30:00+00:00,29449555,30.0,216,186.0
2024-05-11 17:45:00+00:00,33341120,34.0,216,182.0
2024-05-11 18:00:00+00:00,34721248,35.0,216,181.0
2024-05-11 18:15:00+00:00,29471560,30.0,216,186.0
2024-05-11 18:30:00+00:00,37998563,38.0,216,178.0
2024-05-11 18:45:00+00:00,39351088,40.0,216,176.0
2024-05-11 19:00:00+00:00,38858455,39.0,216,177.0
2024-05-11 19:15:00+00:00,37890324,38.0,216,178.0
2024-05-11 19:30:00+00:00,38323591,39.0,216,177.0
2024-05-11 19:45:00+00:00,33215290,34.0,216,182.0
2024-05-11 20:00:00+00:00,32670382,33.0,216,183.0
2024-05-11 20:15:00+00:00,31125263,32.0,216,184.0
2024-05-11 20:30:00+00:00,35426410,36.0,216,180.0
2024-05-11 20:45:00+00:00,31554541,32.0,216,184.0
2024-05-11 21:00:00+00:00,31351742,32.0,216,184.0
2024-05-11 21:15:00+00:00,29895271,30.0,216,186.0
2024-05-11 21:30:00+00:00,28451196,29.0,216,187.0
2024-05-11 21:45:00+00:00,27661504,28.0,216,188.0
2024-05-11 22:00:00+00:00,25103190,26.0,216,190.0
2024-05-11 22:15:00+00:00,31965397,32.0,216,184.0
2024-05-11 22:30:00+00:00,31009169,32.0,216,184.0
2024-05-11 22:45:00+00:00,30984760,31.0,216,185.0
2024-05-11 23:00:00+00:00,30217365,31.0,216,185.0
2024-05-11 23:15:00+00:00,25462085,26.0,216,190.0
2024-05-11 23:30:00+00:00,23001048,24.0,216,192.0
2024-05-11 23:45:00+00:00,24512475,25.0,216,191.0
2024-05-12 00:00:00+00:00,27492510,28.0,216,188.0
2024-05-12 00:15:00+00:00,22353223,23.0,216,193.0
2024-05-12 00:30:00+00:00,25628128,26.0,216,190.0
2024-05-12 00:45:00+00:00,24611077,25.0,216,191.0
2024-05-12 01:00:00+00:00,25910768,26.0,216,190.0
2024-05-12 01:15:00+00:00,24641465,25.0,216,191.0
2024-05-12 01:30:00+00:00,28328093,29.0,216,187.0
2024-05-12 01:45:00+00:00,32099481,33.0,216,183.0
2024-05-12 02:00:00+00:00,26751139,27.0,216,189.0
2024-05-12 02:15:00+00:00,25600809,26.0,216,190.0
2024-05-12 02:30:00+00:00,23334335,24.0,216,192.0
2024-05-12 02:45:00+00:00,24373331,25.0,216,191.0
2024-05-12 03:00:00+00:00,24255586,25.0,216,191.0
2024-05-12 03:15:00+00:00,24895073,25.0,216,191.0
2024-05-12 03:30:00+00:00,26738060,27.0,216,189.0
2024-05-12 03:45:00+00:00,22978805,23.0,216,193.0
2024-05-12 04:00:00+00:00,23803528,24.0,216,192.0
2024-05-12 04:15:00+00:00,20531535,21.0,216,195.0
2024-05-12 04:30:00+00:00,20473023,21.0,216,195.0
2024-05-12 04:45:00+00:00,20029814,21.0,216,195.0
2024-05-12 05:00:00+00:00,19744176,20.0,216,196.0
2024-05-12 05:15:00+00:00,17461151,18.0,216,198.0
2024-05-12 05:30:00+00:00,15680428,16.0,216,200.0
2024-05-12 05:45:00+00:00,17314120,18.0,216,198.0
2024-05-12 06:00:00+00:00,14401877,15.0,216,201.0
2024-05-12 06:15:00+00:00,15619012,16.0,216,200.0
2024-05-12 06:30:00+00:00,14640456,15.0,216,201.0
2024-05-12 06:45:00+00:00,12231892,13.0,216,203.0
2024-05-12 07:00:00+00:00,10355879,11.0,216,205.0
2024-05-12 07:15:00+00:00,9757369,10.0,216,206.0
2024-05-12 07:30:00+00:00,8760702,9.0,216,207.0
2024-05-12 07:45:00+00:00,7840378,8.0,216,208.0
2024-05-12 08:00:00+00:00,8154373,9.0,216,207.0
2024-05-12 08:15:00+00:00,7795540,8.0,216,208.0
2024-05-12 08:30:00+00:00,8738761,9.0,216,207.0
2024-05-12 08:45:00+00:00,8438428,9.0,216,207.0
2024-05-12 09:00:00+00:00,8116736,9.0,216,207.0
2024-05-12 09:15:00+00:00,8463829,9.0,216,207.0
2024-05-12 09:30:00+00:00,7358374,8.0,216,208.0
2024-05-12 09:45:00+00:00,6995631,7.0,216,209.0
2024-05-12 10:00:00+00:00,7846877,8.0,216,208.0
2024-05-12 10:15:00+00:00,7988276,8.0,216,208.0
2024-05-12 10:30:00+00:00,7229764,8.0,216,208.0
2024-05-12 10:45:00+00:00,8392835,9.0,216,207.0
2024-05-12 11:00:00+00:00,7925871,8.0,216,208.0
2024-05-12 11:15:00+00:00,6895550,7.0,216,209.0
2024-05-12 11:30:00+00:00,10321941,11.0,216,205.0
2024-05-12 11:45:00+00:00,8288872,9.0,216,207.0
2024-05-12 12:00:00+00:00,8732451,9.0,216,207.0
2024-05-12 12:15:00+00:00,13001882,14.0,216,202.0
2024-05-12 12:30:00+00:00,14081221,15.0,216,201.0
2024-05-12 12:45:00+00:00,17548304,18.0,216,198.0
2024-05-12 13:00:00+00:00,16660652,17.0,216,199.0
2024-05-12 13:15:00+00:00,17074857,18.0,216,198.0
2024-05-12 13:30:00+00:00,18481503,19.0,216,197.0
2024-05-12 13:45:00+00:00,16955215,17.0,216,199.0
2024-05-12 14:00:00+00:00,17285864,18.0,216,198.0
2024-05-12 14:15:00+00:00,20235017,21.0,216,195.0
2024-05-12 14:30:00+00:00,20295635,21.0,216,195.0
2024-05-12 14:45:00+00:00,21639045,22.0,216,194.0
2024-05-12 15:00:00+00:00,23437801,24.0,216,192.0
2024-05-12 15:15:00+00:00,21257832,22.0,216,194.0
2024-05-12 15:30:00+00:00,21783116,22.0,216,194.0
2024-05-12 15:45:00+00:00,22447293,23.0,216,193.0
2024-05-12 16:00:00+00:00,23233159,24.0,216,192.0
2024-05-12 16:15:00+00:00,23811945,24.0,216,192.0
2024-05-12 16:30:00+00:00,25252542,26.0,216,190.0
2024-05-12 16:45:00+00:00,27398610,28.0,216,188.0
2024-05-12 17:00:00+00:00,25783689,26.0,216,190.0
2024-05-12 17:15:00+00:00,23179928,24.0,216,192.0
2024-05-12 17:30:00+00:00,25813488,26.0,216,190.0
2024-05-12 17:45:00+00:00,26838107,27.0,216,189.0
2024-05-12 18:00:00+00:00,28975400,29.0,216,187.0
2024-05-12 18:15:00+00:00,29277232,30.0,216,186.0
2024-05-12 18:30:00+00:00,31662654,32.0,216,184.0
2024-05-12 18:45:00+00:00,31237947,32.0,216,184.0
2024-05-12 19:00:00+00:00,30940977,31.0,216,185.0
2024-05-12 19:15:00+00:00,30664910,31.0,216,185.0
2024-05-12 19:30:00+00:00,30264981,31.0,216,185.0
2024-05-12 19:45:00+00:00,29018892,30.0,216,186.0
2024-05-12 20:00:00+00:00,26456008,27.0,216,189.0
2024-05-12 20:15:00+00:00,32869350,33.0,216,183.0
2024-05-12 20:30:00+00:00,30764550,31.0,216,185.0
2024-05-12 20:45:00+00:00,34238341,35.0,216,181.0
2024-05-12 21:00:00+00:00,36467693,37.0,216,179.0
2024-05-12 21:15:00+00:00,32766795,33.0,216,183.0
2024-05-12 21:30:00+00:00,34087465,35.0,216,181.0
2024-05-12 21:45:00+00:00,38219716,39.0,216,177.0
2024-05-12 22:00:00+00:00,37223249,38.0,216,178.0
2024-05-12 22:15:00+00:00,30551153,31.0,216,185.0
2024-05-12 22:30:00+00:00,28809534,29.0,216,187.0
2024-05-12 22:45:00+00:00,30171638,31.0,216,185.0
2024-05-12 23:00:00+00:00,33661237,34.0,216,182.0
2024-05-12 23:15:00+00:00,32497780,33.0,216,183.0
2024-05-12 23:30:00+00:00,33427570,34.0,216,182.0
2024-05-12 23:45:00+00:00,36249346,37.0,216,179.0
2024-05-13 00:00:00+00:00,40726725,41.0,216,175.0
2024-05-13 00:15:00+00:00,37808584,38.0,216,178.0
2024-05-13 00:30:00+00:00,35556770,36.0,216,180.0
2024-05-13 00:45:00+00:00,35967471,36.0,216,180.0
2024-05-13 01:00:00+00:00,34310532,35.0,216,181.0
2024-05-13 01:15:00+00:00,37421170,38.0,216,178.0
2024-05-13 01:30:00+00:00,40587563,41.0,216,175.0
2024-05-13 01:45:00+00:00,39826800,40.0,216,176.0
2024-05-13 02:00:00+00:00,43424639,44.0,216,172.0
2024-05-13 02:15:00+00:00,41387069,42.0,216,174.0
2024-05-13 02:30:00+00:00,35893673,36.0,216,180.0
2024-05-13 02:45:00+00:00,37266474,38.0,216,178.0
2024-05-13 03:00:00+00:00,36307874,37.0,216,179.0
2024-05-13 03:15:00+00:00,31712488,32.0,216,184.0
2024-05-13 03:30:00+00:00,33683417,34.0,216,182.0
2024-05-13 03:45:00+00:00,36237529,37.0,216,179.0
2024-05-13 04:00:00+00:00,32087714,33.0,216,183.0
2024-05-13 04:15:00+00:00,29110856,30.0,216,186.0
2024-05-13 04:30:00+00:00,26680522,27.0,216,189.0
2024-05-13 04:45:00+00:00,27224283,28.0,216,188.0
2024-05-13 05:00:00+00:00,24592025,25.0,216,191.0
2024-05-13 05:15:00+00:00,23858482,24.0,216,192.0
2024-05-13 05:30:00+00:00,26455289,27.0,216,189.0
2024-05-13 05:45:00+00:00,26166256,27.0,216,189.0
2024-05-13 06:00:00+00:00,23371516,24.0,216,192.0
2024-05-13 06:15:00+00:00,23234166,24.0,216,192.0
2024-05-13 06:30:00+00:00,23168950,24.0,216,192.0
2024-05-13 06:45:00+00:00,23400778,24.0,216,192.0
2024-05-13 07:00:00+00:00,21236699,22.0,216,194.0
2024-05-13 07:15:00+00:00,21873739,22.0,216,194.0
2024-05-13 07:30:00+00:00,23856265,24.0,216,192.0
2024-05-13 07:45:00+00:00,21909317,22.0,216,194.0
2024-05-13 08:00:00+00:00,18391796,19.0,216,197.0
2024-05-13 08:15:00+00:00,17522969,18.0,216,198.0
2024-05-13 08:30:00+00:00,20293355,21.0,216,195.0
2024-05-13 08:45:00+00:00,19224620,20.0,216,196.0
2024-05-13 09:00:00+00:00,18506173,19.0,216,197.0
2024-05-13 09:15:00+00:00,18984575,19.0,216,197.0
2024-05-13 09:30:00+00:00,20365390,21.0,216,195.0
2024-05-13 09:45:00+00:00,19177678,20.0,216,196.0
2024-05-13 10:00:00+00:00,18833840,19.0,216,197.0
2024-05-13 10:15:00+00:00,18498283,19.0,216,197.0
2024-05-13 10:30:00+00:00,18031633,19.0,216,197.0
2024-05-13 10:45:00+00:00,19743168,20.0,216,196.0
2024-05-13 11:00:00+00:00,21224159,22.0,216,194.0
2024-05-13 11:15:00+00:00,25535650,26.0,216,190.0
